strain	year	lineage	date	country
0910Q_2009	2009	4.1	2009-XX-XX	Russia
1193Y_2009	2009	4.3	2009-XX-XX	Russia
1456J_2009	2009	2.2	2017-XX-XX	Azerbaijan
1295J_2009	2009	4.3	2009-XX-XX	Russia
1477G_2009	2009	2.2	2009-XX-XX	Russia
1550L_2009	2009	2.2	2015-XX-XX	Russia
1862A_2009	2009	4.1	2009-XX-XX	Russia
1919M_2009	2009	4.2	2009-XX-XX	Russia
2507B_2010	2010	4.1	2010-XX-XX	Russia
2570V_2009	2009	4.2	2009-XX-XX	Russia
S10065_2014	2014	4.1	2014-XX-XX	Moldova
S10071_2014	2014	4.2	2014-XX-XX	Moldova
S10075_2014	2014	2.2	2014-XX-XX	Moldova
S10083_2014	2014	2.2	2014-XX-XX	Moldova
S10112_2014	2014	4.2	2014-XX-XX	Moldova
S10613_2014	2014	4.2	2014-XX-XX	Moldova
S10621_2014	2014	4.2	2014-XX-XX	Moldova
S10922_2014	2014	4.8	2014-XX-XX	Moldova
S10947_2014	2014	2.2	2014-XX-XX	Moldova
S11256_2014	2014	4.2	2014-XX-XX	Moldova
S11270_2014	2014	4.1	2014-XX-XX	Moldova
S11284_2014	2014	4.3	2014-XX-XX	Moldova
S11550_2014	2014	2.2	2014-XX-XX	Moldova
S11560_2014	2014	4.1	2014-XX-XX	Moldova
S11783_2014	2014	4.2	2014-XX-XX	Moldova
S12083_2014	2014	4.2	2014-XX-XX	Moldova
S12087_2014	2014	4.8	2014-XX-XX	Moldova
S12099_2014	2014	4.2	2014-XX-XX	Moldova
S1211_2014	2014	4.1	2014-XX-XX	Moldova
S1219_2014	2014	4.3	2014-XX-XX	Moldova
S1230_2014	2014	2.2	2014-XX-XX	Moldova
S12357_2014	2014	4.4	2014-XX-XX	Moldova
S1236_2014	2014	4.8	2014-XX-XX	Moldova
S12389_2014	2014	4.1	2014-XX-XX	Moldova
S12396_2014	2014	2.2	2014-XX-XX	Moldova
S12660_2014	2014	4.2	2014-XX-XX	Moldova
S12662_2014	2014	4.8	2014-XX-XX	Moldova
S12664_2014	2014	4.2	2014-XX-XX	Moldova
