strain	year	lineage	date	country
Russia_0166G_2008	2008	4.2	2008-XX-XX	Russia
Russia_0314S_2008	2008	4.2	2008-XX-XX	Russia
Russia_0029H_2008	2008	4.2	2008-XX-XX	Russia
Russia_1636E_2009	2009	4.2	2014-XX-XX	Russia
Russia_0507C_2008	2008	4.2	2008-XX-XX	Russia
Russia_0573Z_2008	2008	4.2	2009-XX-XX	Russia
Russia_0472P_2008	2008	4.2	2008-XX-XX	Russia
Moldova_S10071_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S10112_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S10613_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S10621_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S11256_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S11783_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S12083_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S12099_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S12672_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S12893_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S13149_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S13151_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S14556_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S14764_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S15344_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1544_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1546_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1557_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1559_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S15645_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S15656_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S15958_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S15971_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S16673_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S17250_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S18064_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S1905_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1915_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1922_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1924_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S1928_2014	2014	4.2	2016-XX-XX	Moldova
Moldova_S19769_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S20371_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S20589_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S20850_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S21306_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S21608_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S21804_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S22069_2013	2013	4.2	2016-XX-XX	Moldova
Moldova_S22076_2013	2013	4.2	2016-XX-XX	Moldova
